행정구역,,,총인구수,세대수,세대당 인구
서울특별시,구로구,오류제1동,"22,755","13,075",1.74
서울특별시,구로구,오류제2동,"35,741","15,592",2.29
서울특별시,구로구,수궁동,"21,741","9,883",2.2
서울특별시,구로구,항동,"15,917","6,165",2.58
서울특별시,금천구,,"223,012","121,513",1.84
서울특별시,금천구,가산동,"25,345","18,735",1.35
서울특별시,금천구,독산제1동,"47,443","26,558",1.79
서울특별시,금천구,독산제2동,"17,108","9,317",1.84
서울특별시,금천구,독산제3동,"22,626","12,657",1.79
서울특별시,금천구,독산제4동,"13,811","7,361",1.88
서울특별시,금천구,시흥제1동,"31,258","16,326",1.91
서울특별시,금천구,시흥제2동,"19,880","8,138",2.44
서울특별시,금천구,시흥제3동,"9,968","4,663",2.14
서울특별시,금천구,시흥제4동,"18,318","8,803",2.08
서울특별시,금천구,시흥제5동,"17,255","8,955",1.93
서울특별시,영등포구,,"371,228","192,541",1.93
서울특별시,영등포구,영등포본동,"20,262","10,327",1.96
서울특별시,영등포구,영등포동,"31,177","22,393",1.39
서울특별시,영등포구,여의동,"34,008","14,188",2.4
서울특별시,영등포구,당산제1동,"21,043","11,914",1.77
서울특별시,영등포구,당산제2동,"36,332","18,963",1.92
서울특별시,영등포구,도림동,"17,612","9,923",1.77
서울특별시,영등포구,문래동,"31,200","12,976",2.4
서울특별시,영등포구,양평제1동,"18,193","10,067",1.81
서울특별시,영등포구,양평제2동,"22,497","11,345",1.98
서울특별시,영등포구,신길제1동,"18,926","11,644",1.63
서울특별시,영등포구,신길제3동,"16,024","7,809",2.05
서울특별시,영등포구,신길제4동,"11,811","5,682",2.08
서울특별시,영등포구,신길제5동,"9,553","4,445",2.15
서울특별시,영등포구,신길제6동,"17,754","9,187",1.93
서울특별시,영등포구,신길제7동,"19,434","7,849",2.48
서울특별시,영등포구,대림제1동,"13,213","6,772",1.95
서울특별시,영등포구,대림제2동,"11,433","6,822",1.68
서울특별시,영등포구,대림제3동,"20,756","10,235",2.03
서울특별시,동작구,,"371,748","186,813",1.99
서울특별시,동작구,노량진제1동,"32,731","18,049",1.81
서울특별시,동작구,노량진제2동,"7,772","5,501",1.41
서울특별시,동작구,상도제1동,"43,657","22,854",1.91
서울특별시,동작구,상도제2동,"26,839","12,341",2.17
서울특별시,동작구,상도제3동,"23,389","12,228",1.91
서울특별시,동작구,상도제4동,"28,749","14,734",1.95
서울특별시,동작구,흑석동,"29,816","12,960",2.3
서울특별시,동작구,사당제1동,"22,110","13,901",1.59
서울특별시,동작구,사당제2동,"27,640","12,471",2.22
서울특별시,동작구,사당제3동,"23,106","10,375",2.23
서울특별시,동작구,사당제4동,"13,544","7,279",1.86
서울특별시,동작구,사당제5동,"13,795","6,664",2.07
서울특별시,동작구,대방동,"33,723","16,070",2.1
서울특별시,동작구,신대방제1동,"22,793","10,402",2.19
서울특별시,동작구,신대방제2동,"22,084","10,984",2.01
서울특별시,관악구,,"477,657","289,153",1.65
서울특별시,관악구,보라매동,"22,950","12,946",1.77
서울특별시,관악구,청림동,"14,230","6,330",2.25
서울특별시,관악구,성현동,"29,651","12,949",2.29
서울특별시,관악구,행운동,"28,405","18,266",1.56
서울특별시,관악구,낙성대동,"17,526","12,454",1.41
서울특별시,관악구,청룡동,"35,829","24,631",1.45
서울특별시,관악구,은천동,"31,404","16,041",1.96
서울특별시,관악구,중앙동,"15,127","10,506",1.44
서울특별시,관악구,인헌동,"24,938","14,974",1.67
서울특별시,관악구,남현동,"17,194","9,800",1.75
서울특별시,관악구,서원동,"22,799","15,468",1.47
서울특별시,관악구,신원동,"17,214","11,318",1.52
서울특별시,관악구,서림동,"23,542","15,736",1.5
서울특별시,관악구,신사동,"22,047","14,742",1.5
서울특별시,관악구,신림동,"23,162","19,451",1.19
서울특별시,관악구,난향동,"14,390","6,119",2.35
서울특별시,관악구,조원동,"19,809","12,583",1.57
서울특별시,관악구,대학동,"24,718","18,213",1.36
서울특별시,관악구,삼성동,"20,059","9,819",2.04
서울특별시,관악구,미성동,"28,458","14,049",2.03
서울특별시,관악구,난곡동,"24,205","12,758",1.9
서울특별시,서초구,,"415,407","173,896",2.39
서울특별시,서초구,서초1동,"19,923","9,504",2.1
서울특별시,서초구,서초2동,"24,737","11,473",2.16
서울특별시,서초구,서초3동,"32,000","15,550",2.06
서울특별시,서초구,서초4동,"29,987","10,661",2.81
서울특별시,서초구,잠원동,"34,959","13,606",2.57
서울특별시,서초구,반포본동,210,102,2.06
서울특별시,서초구,반포1동,"33,186","14,473",2.29
서울특별시,서초구,반포2동,"26,467","8,564",3.09
서울특별시,서초구,반포3동,"23,646","8,207",2.88
서울특별시,서초구,반포4동,"18,274","6,974",2.62
서울특별시,서초구,방배본동,"19,878","7,844",2.53
서울특별시,서초구,방배1동,"16,259","7,493",2.17
서울특별시,서초구,방배2동,"17,471","7,722",2.26
서울특별시,서초구,방배3동,"15,470","5,788",2.67
서울특별시,서초구,방배4동,"25,010","10,444",2.39
서울특별시,서초구,양재1동,"40,562","17,510",2.32
서울특별시,서초구,양재2동,"20,725","10,975",1.89
서울특별시,서초구,내곡동,"16,643","7,006",2.38
서울특별시,강남구,,"555,787","245,155",2.27
서울특별시,강남구,신사동,"15,041","6,521",2.31
서울특별시,강남구,논현1동,"20,650","13,428",1.54
서울특별시,강남구,논현2동,"20,066","11,145",1.8
서울특별시,강남구,압구정동,"25,503","9,944",2.56
서울특별시,강남구,청담동,"25,694","11,221",2.29
서울특별시,강남구,삼성1동,"12,723","5,502",2.31
서울특별시,강남구,삼성2동,"30,321","13,820",2.19
서울특별시,강남구,대치1동,"23,651","7,187",3.29
서울특별시,강남구,대치2동,"38,415","13,376",2.87
서울특별시,강남구,대치4동,"17,996","9,546",1.89
서울특별시,강남구,역삼1동,"34,118","23,819",1.43
서울특별시,강남구,역삼2동,"36,076","15,582",2.32
서울특별시,강남구,도곡1동,"20,734","8,395",2.47
서울특별시,강남구,도곡2동,"32,041","11,404",2.81
서울특별시,강남구,개포1동,"26,612","9,127",2.92
서울특별시,강남구,개포2동,"41,807","14,851",2.82
서울특별시,강남구,개포3동,"15,545","6,997",2.22
서울특별시,강남구,개포4동,"22,960","10,041",2.29
서울특별시,강남구,세곡동,"45,838","20,253",2.26
서울특별시,강남구,일원본동,"22,383","7,944",2.82
서울특별시,강남구,일원1동,"14,127","7,454",1.9
서울특별시,강남구,수서동,"13,486","7,598",1.77
서울특별시,송파구,,"645,821","287,021",2.25
서울특별시,송파구,풍납1동,"10,739","5,167",2.08
서울특별시,송파구,풍납2동,"22,857","10,426",2.19
서울특별시,송파구,거여1동,"11,747","5,612",2.09
서울특별시,송파구,거여2동,"23,032","10,044",2.29
서울특별시,송파구,마천1동,"15,165","7,267",2.09
서울특별시,송파구,마천2동,"16,988","8,413",2.02
서울특별시,송파구,방이1동,"14,898","6,169",2.41
서울특별시,송파구,방이2동,"26,204","16,124",1.63
서울특별시,송파구,오륜동,"17,488","5,839",3
서울특별시,송파구,오금동,"37,031","15,717",2.36
서울특별시,송파구,송파1동,"22,892","12,489",1.83
서울특별시,송파구,송파2동,"19,305","7,546",2.56
서울특별시,송파구,석촌동,"30,017","17,039",1.76
서울특별시,송파구,삼전동,"28,332","16,122",1.76
서울특별시,송파구,가락본동,"24,522","11,627",2.11
서울특별시,송파구,가락1동,"26,963","9,705",2.78
서울특별시,송파구,가락2동,"28,473","11,723",2.43
서울특별시,송파구,문정1동,"19,595","8,966",2.19
서울특별시,송파구,문정2동,"28,664","15,838",1.81
서울특별시,송파구,장지동,"30,635","13,174",2.33
서울특별시,송파구,위례동,"44,902","14,982",3
서울특별시,송파구,잠실본동,"27,274","16,128",1.69
서울특별시,송파구,잠실2동,"34,488","11,505",3
서울특별시,송파구,잠실3동,"33,501","11,776",2.84
서울특별시,송파구,잠실4동,"24,560","8,464",2.9
서울특별시,송파구,잠실6동,"16,228","5,801",2.8
서울특별시,송파구,잠실7동,"9,321","3,358",2.78
서울특별시,강동구,,"499,307","222,940",2.24
서울특별시,강동구,강일동,"34,320","13,817",2.48
서울특별시,강동구,상일제1동,"38,966","13,537",2.88
서울특별시,강동구,상일제2동,"13,295","5,286",2.52
서울특별시,강동구,명일제1동,"24,666","10,000",2.47
서울특별시,강동구,명일제2동,"16,890","6,408",2.64
서울특별시,강동구,고덕제1동,"23,667","8,155",2.9
서울특별시,강동구,고덕제2동,"26,231","10,348",2.53
서울특별시,강동구,암사제1동,"32,598","15,831",2.06
서울특별시,강동구,암사제2동,"14,478","6,399",2.26
서울특별시,강동구,암사제3동,"16,857","6,048",2.79
서울특별시,강동구,천호제1동,"24,950","12,847",1.94
서울특별시,강동구,천호제2동,"34,795","18,762",1.85
서울특별시,강동구,천호제3동,"26,847","15,392",1.74
서울특별시,강동구,성내제1동,"18,909","8,219",2.3
서울특별시,강동구,성내제2동,"24,211","14,052",1.72
서울특별시,강동구,성내제3동,"21,545","10,596",2.03
서울특별시,강동구,길동,"48,125","24,351",1.98
서울특별시,강동구,둔촌제1동,"32,792","11,955",2.74
서울특별시,강동구,둔촌제2동,"25,165","10,937",2.3
부산광역시,,,"3,239,711","1,573,947",2.06
부산광역시,중구,,"36,449","23,234",1.57
부산광역시,중구,중앙동,"3,094","2,489",1.24
부산광역시,중구,동광동,"2,286","1,540",1.48
부산광역시,중구,대청동,"5,443","3,361",1.62
부산광역시,중구,보수동,"9,780","6,011",1.63
부산광역시,중구,부평동,"3,957","2,576",1.54
부산광역시,중구,광복동,840,515,1.63
부산광역시,중구,남포동,752,563,1.34
부산광역시,중구,영주제1동,"4,201","2,827",1.49
부산광역시,중구,영주제2동,"6,096","3,352",1.82
부산광역시,서구,,"101,633","53,304",1.91
부산광역시,서구,동대신제1동,"5,018","2,601",1.93
부산광역시,서구,동대신제2동,"6,216","3,262",1.91
부산광역시,서구,동대신제3동,"6,911","3,733",1.85
부산광역시,서구,서대신제1동,"14,440","6,749",2.14
부산광역시,서구,서대신제3동,"7,227","3,123",2.31
부산광역시,서구,서대신제4동,"6,878","2,926",2.35
부산광역시,서구,부민동,"7,207","4,146",1.74
부산광역시,서구,아미동,"6,075","3,928",1.55
부산광역시,서구,초장동,"3,514","2,272",1.55
부산광역시,서구,충무동,"9,228","5,409",1.71
부산광역시,서구,남부민제1동,"4,194","2,474",1.7
부산광역시,서구,남부민제2동,"7,289","4,236",1.72
부산광역시,서구,암남동,"17,436","8,445",2.06
부산광역시,동구,,"83,765","46,297",1.81
부산광역시,동구,초량제1동,"4,810","3,168",1.52
부산광역시,동구,초량제2동,"4,900","3,120",1.57
부산광역시,동구,초량제3동,"12,815","6,532",1.96
부산광역시,동구,초량제6동,"4,905","2,802",1.75
부산광역시,동구,수정제1동,"3,974","2,174",1.83
부산광역시,동구,수정제2동,"8,645","4,730",1.83
부산광역시,동구,수정제4동,"3,231","1,947",1.66
부산광역시,동구,수정제5동,"4,434","2,490",1.78
부산광역시,동구,좌천동,"10,705","5,642",1.9
부산광역시,동구,범일제1동,"10,266","5,942",1.73
부산광역시,동구,범일제2동,"6,122","3,609",1.7
부산광역시,동구,범일제5동,"8,958","4,141",2.16
부산광역시,영도구,,"101,252","53,143",1.91
부산광역시,영도구,남항동,"9,811","5,498",1.78
부산광역시,영도구,영선제1동,"3,519","1,785",1.97
