행정구역,구,동,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시,,,"9,299,701","459,382","717,738","1,249,445","1,463,641","1,363,204","1,469,734","1,317,268","833,117","368,738","56,001","1,433"
서울특별시,종로구,,"136,798","5,056","9,143","20,071","19,836","18,147","22,783","20,990","12,652","6,864","1,222",34
서울특별시,종로구,청운효자동,"10,835",495,"1,004","1,243","1,511","1,691","1,859","1,420",938,573,98,3
서울특별시,종로구,사직동,"8,908",378,607,"1,001","1,434","1,382","1,466","1,278",753,493,111,5
서울특별시,종로구,삼청동,"2,114",68,155,218,271,288,316,360,260,144,34,0
서울특별시,종로구,부암동,"8,926",330,746,"1,026","1,161","1,311","1,590","1,374",840,451,93,4
서울특별시,종로구,평창동,"17,010",869,"1,506","1,752","1,979","2,409","2,956","2,863","1,565",877,226,8
서울특별시,종로구,무악동,"7,658",465,850,791,788,"1,207","1,355","1,108",652,385,57,0
서울특별시,종로구,교남동,"9,430",616,737,"1,045","1,380","1,570","1,695","1,173",782,377,55,0
서울특별시,종로구,가회동,"3,616",126,283,330,505,547,639,548,388,214,35,1
서울특별시,종로구,종로1.2.3.4가동,"6,637",139,226,894,"1,045",802,"1,052","1,253",797,375,51,3
서울특별시,종로구,종로5.6가동,"5,431",139,196,"1,157","1,014",589,774,811,457,257,36,1
서울특별시,종로구,이화동,"7,042",141,329,"1,512","1,276",798,977,968,627,356,58,0
서울특별시,종로구,혜화동,"15,572",427,"1,103","4,139","2,054","1,784","2,283","1,735","1,142",768,130,7
서울특별시,종로구,창신제1동,"4,414",95,148,509,610,446,735,"1,028",551,260,32,0
서울특별시,종로구,창신제2동,"7,158",139,270,775,877,730,"1,489","1,553",866,399,60,0
서울특별시,종로구,창신제3동,"6,111",249,372,687,918,735,"1,093","1,108",602,295,51,1
서울특별시,종로구,숭인제1동,"5,698",166,317,678,787,782,"1,037",995,606,279,50,1
서울특별시,종로구,숭인제2동,"10,238",214,294,"2,314","2,226","1,076","1,467","1,415",826,361,45,0
서울특별시,중구,,"117,718","4,939","5,763","15,651","21,257","16,064","17,797","17,878","11,513","5,820","1,015",21
서울특별시,중구,소공동,"2,181",142,148,203,419,554,330,198,126,52,9,0
서울특별시,중구,회현동,"4,072",124,199,366,539,456,676,808,574,270,59,1
서울특별시,중구,명동,"2,455",46,105,298,303,316,436,452,302,162,35,0
서울특별시,중구,필동,"4,307",122,195,804,853,542,564,570,399,196,60,2
서울특별시,중구,장충동,"4,525",97,241,"1,295",641,470,563,531,418,233,36,0
서울특별시,중구,광희동,"5,723",115,164,"1,077","1,340",667,718,814,533,260,34,1
서울특별시,중구,을지로동,"3,029",144,86,348,857,541,362,360,218,102,11,0
서울특별시,중구,신당동,"7,399",206,243,"1,186","1,374",940,"1,122","1,171",742,356,57,2
서울특별시,중구,다산동,"12,984",374,642,"1,796","2,140","1,664","2,117","2,110","1,335",696,109,1
서울특별시,중구,약수동,"15,729",740,813,"1,555","2,331","2,031","2,522","2,660","1,860","1,014",200,3
서울특별시,중구,청구동,"10,700",518,590,"1,134","1,950","1,309","1,660","1,700","1,127",619,92,1
서울특별시,중구,신당제5동,"9,930",388,474,"1,271","1,875","1,364","1,599","1,554",902,434,68,1
서울특별시,중구,동화동,"9,723",528,669,"1,022","1,266","1,310","1,680","1,707",962,484,95,0
서울특별시,중구,황학동,"13,121",549,475,"2,037","3,311","1,893","1,639","1,662","1,033",451,68,3
서울특별시,중구,중림동,"11,840",846,719,"1,259","2,058","2,007","1,809","1,581",982,491,82,6
서울특별시,용산구,,"201,746","9,818","12,684","26,339","37,230","29,073","31,847","28,201","16,276","8,629","1,597",52
서울특별시,용산구,후암동,"15,652",566,"1,039","1,977","2,875","2,209","2,502","2,288","1,383",707,99,7
서울특별시,용산구,용산2가동,"8,483",198,384,"1,176","1,701","1,138","1,178","1,235",907,481,82,3
서울특별시,용산구,남영동,"6,997",142,184,817,"1,330",757,"1,296","1,443",686,297,43,2
서울특별시,용산구,청파동,"18,597",424,875,"3,869","3,551","2,081","2,833","2,550","1,505",800,104,5
서울특별시,용산구,원효로제1동,"17,065","1,003",922,"2,665","4,303","2,616","2,332","1,774",966,405,78,1
서울특별시,용산구,원효로제2동,"13,396",680,911,"1,736","2,425","1,874","2,136","1,909","1,064",552,107,2
서울특별시,용산구,효창동,"10,406",623,674,"1,369","2,072","1,578","1,670","1,263",684,394,78,1
서울특별시,용산구,용문동,"11,045",538,593,"1,405","2,047","1,437","1,784","1,573","1,075",525,62,6
