행정구역,구,동,총인구수,세대수,세대당 인구
서울특별시,,,"9,281,625","4,525,061",2.05
서울특별시,종로구,,"135,935","72,464",1.88
서울특별시,종로구,청운효자동,"10,592","4,819",2.2
서울특별시,종로구,사직동,"8,828","4,545",1.94
서울특별시,종로구,삼청동,"2,029","1,041",1.95
서울특별시,종로구,부암동,"8,862","4,121",2.15
서울특별시,종로구,평창동,"16,921","7,107",2.38
서울특별시,종로구,무악동,"7,696","2,978",2.58
서울특별시,종로구,교남동,"9,476","4,343",2.18
서울특별시,종로구,가회동,"3,500","1,786",1.96
서울특별시,종로구,종로1.2.3.4가동,"6,561","4,858",1.35
서울특별시,종로구,종로5.6가동,"5,400","3,718",1.45
서울특별시,종로구,이화동,"7,044","4,482",1.57
서울특별시,종로구,혜화동,"15,721","9,354",1.68
서울특별시,종로구,창신제1동,"4,328","2,626",1.65
서울특별시,종로구,창신제2동,"7,048","3,876",1.82
서울특별시,종로구,창신제3동,"6,031","2,720",2.22
서울특별시,종로구,숭인제1동,"5,654","3,013",1.88
서울특별시,종로구,숭인제2동,"10,244","7,077",1.45
서울특별시,중구,,"117,305","63,818",1.84
서울특별시,중구,소공동,"2,205","1,236",1.78
서울특별시,중구,회현동,"4,032","2,270",1.78
서울특별시,중구,명동,"2,479","1,311",1.89
서울특별시,중구,필동,"4,331","2,839",1.53
서울특별시,중구,장충동,"4,553","2,951",1.54
서울특별시,중구,광희동,"5,709","3,973",1.44
서울특별시,중구,을지로동,"3,039","2,071",1.47
서울특별시,중구,신당동,"7,236","4,659",1.55
서울특별시,중구,다산동,"12,813","6,705",1.91
서울특별시,중구,약수동,"15,562","7,688",2.02
서울특별시,중구,청구동,"10,605","5,025",2.11
서울특별시,중구,신당제5동,"9,957","5,411",1.84
서울특별시,중구,동화동,"9,694","3,943",2.46
서울특별시,중구,황학동,"13,134","7,849",1.67
서울특별시,중구,중림동,"11,956","5,887",2.03
서울특별시,용산구,,"199,459","101,969",1.96
서울특별시,용산구,후암동,"15,584","8,296",1.88
서울특별시,용산구,용산2가동,"8,352","4,947",1.69
서울특별시,용산구,남영동,"7,004","4,997",1.4
서울특별시,용산구,청파동,"18,790","11,560",1.63
서울특별시,용산구,원효로제1동,"17,082","9,402",1.82
서울특별시,용산구,원효로제2동,"13,318","6,329",2.1
서울특별시,용산구,효창동,"10,383","4,732",2.19
서울특별시,용산구,용문동,"11,023","5,350",2.06
서울특별시,용산구,한강로동,"20,844","11,179",1.86
서울특별시,용산구,이촌제1동,"24,925","9,140",2.73
서울특별시,용산구,이촌제2동,"7,682","3,548",2.17
서울특별시,용산구,이태원제1동,"5,361","3,065",1.75
서울특별시,용산구,이태원제2동,"8,333","4,672",1.78
서울특별시,용산구,한남동,"13,658","6,922",1.97
서울특별시,용산구,서빙고동,"12,130","5,058",2.4
서울특별시,용산구,보광동,"4,990","2,772",1.8
서울특별시,성동구,,"274,199","133,694",2.05
서울특별시,성동구,왕십리제2동,"15,603","7,339",2.13
서울특별시,성동구,왕십리도선동,"25,536","12,057",2.12
서울특별시,성동구,마장동,"21,406","11,150",1.92
서울특별시,성동구,사근동,"12,097","8,471",1.43
서울특별시,성동구,행당제1동,"15,720","7,350",2.14
서울특별시,성동구,행당제2동,"22,193","9,095",2.44
서울특별시,성동구,응봉동,"14,349","5,829",2.46
서울특별시,성동구,금호1가동,"14,233","6,356",2.24
서울특별시,성동구,금호2.3가동,"20,552","9,365",2.19
서울특별시,성동구,금호4가동,"13,682","6,248",2.19
서울특별시,성동구,옥수동,"25,115","10,705",2.35
서울특별시,성동구,성수1가제1동,"14,723","7,248",2.03
서울특별시,성동구,성수1가제2동,"14,274","7,085",2.01
서울특별시,성동구,성수2가제1동,"13,222","7,050",1.88
서울특별시,성동구,성수2가제3동,"9,303","4,857",1.92
서울특별시,성동구,송정동,"8,993","5,093",1.77
서울특별시,성동구,용답동,"13,198","8,396",1.57
서울특별시,광진구,,"330,791","172,318",1.92
서울특별시,광진구,화양동,"22,936","18,227",1.26
서울특별시,광진구,군자동,"18,500","11,303",1.64
서울특별시,광진구,중곡제1동,"14,801","8,625",1.72
서울특별시,광진구,중곡제2동,"19,652","10,531",1.87
서울특별시,광진구,중곡제3동,"15,180","8,436",1.8
서울특별시,광진구,중곡제4동,"26,753","13,188",2.03
서울특별시,광진구,능동,"10,593","6,339",1.67
서울특별시,광진구,광장동,"32,833","11,758",2.79
서울특별시,광진구,자양제1동,"21,417","12,139",1.76
서울특별시,광진구,자양제2동,"26,254","12,204",2.15
서울특별시,광진구,자양제3동,"26,547","10,974",2.42
서울특별시,광진구,자양제4동,"19,921","11,417",1.74
서울특별시,광진구,구의제1동,"23,264","13,621",1.71
서울특별시,광진구,구의제2동,"24,773","11,554",2.14
서울특별시,광진구,구의제3동,"27,367","12,002",2.28
서울특별시,동대문구, ,"353,448","181,313",1.95
서울특별시,동대문구,신설동,"16,412","9,617",1.71
서울특별시,동대문구,용두동,"22,706","12,894",1.76
서울특별시,동대문구,제기동,"22,065","12,830",1.72
서울특별시,동대문구,전농제1동,"32,482","16,540",1.96
서울특별시,동대문구,전농제2동,"17,115","7,353",2.33
서울특별시,동대문구,답십리제1동,"27,611","13,043",2.12
서울특별시,동대문구,답십리제2동,"27,116","12,688",2.14
서울특별시,동대문구,장안제1동,"36,998","18,662",1.98
서울특별시,동대문구,장안제2동,"33,005","15,119",2.18
서울특별시,동대문구,청량리동,"18,374","9,959",1.84
서울특별시,동대문구,회기동,"10,269","6,735",1.52
서울특별시,동대문구,휘경제1동,"16,805","9,053",1.86
