행정구역,구,동,총인구수,세대수,세대당 인구
서울특별시,,,"9,295,082","4,523,540",2.05
서울특별시,종로구,,"136,518","72,567",1.88
서울특별시,종로구,청운효자동,"10,719","4,854",2.21
서울특별시,종로구,사직동,"8,874","4,575",1.94
서울특별시,종로구,삼청동,"2,064","1,051",1.96
서울특별시,종로구,부암동,"8,872","4,112",2.16
서울특별시,종로구,평창동,"16,959","7,095",2.39
서울특별시,종로구,무악동,"7,699","2,966",2.6
서울특별시,종로구,교남동,"9,470","4,337",2.18
서울특별시,종로구,가회동,"3,525","1,799",1.96
서울특별시,종로구,종로1.2.3.4가동,"6,651","4,926",1.35
서울특별시,종로구,종로5.6가동,"5,420","3,731",1.45
서울특별시,종로구,이화동,"7,063","4,478",1.58
서울특별시,종로구,혜화동,"15,736","9,324",1.69
서울특별시,종로구,창신제1동,"4,380","2,645",1.66
서울특별시,종로구,창신제2동,"7,103","3,893",1.82
서울특별시,종로구,창신제3동,"6,070","2,729",2.22
서울특별시,종로구,숭인제1동,"5,676","3,010",1.89
서울특별시,종로구,숭인제2동,"10,237","7,042",1.45
서울특별시,중구,,"117,765","63,979",1.84
서울특별시,중구,소공동,"2,218","1,250",1.77
서울특별시,중구,회현동,"4,044","2,287",1.77
서울특별시,중구,명동,"2,490","1,320",1.89
서울특별시,중구,필동,"4,329","2,838",1.53
서울특별시,중구,장충동,"4,578","2,952",1.55
서울특별시,중구,광희동,"5,739","3,976",1.44
서울특별시,중구,을지로동,"3,048","2,072",1.47
서울특별시,중구,신당동,"7,341","4,714",1.56
서울특별시,중구,다산동,"12,902","6,725",1.92
서울특별시,중구,약수동,"15,648","7,679",2.04
서울특별시,중구,청구동,"10,645","5,034",2.11
서울특별시,중구,신당제5동,"9,959","5,419",1.84
서울특별시,중구,동화동,"9,764","3,955",2.47
서울특별시,중구,황학동,"13,189","7,892",1.67
서울특별시,중구,중림동,"11,871","5,866",2.02
서울특별시,용산구,,"199,810","102,075",1.96
서울특별시,용산구,후암동,"15,601","8,323",1.87
서울특별시,용산구,용산2가동,"8,444","4,974",1.7
서울특별시,용산구,남영동,"7,012","5,008",1.4
서울특별시,용산구,청파동,"18,767","11,523",1.63
서울특별시,용산구,원효로제1동,"17,016","9,367",1.82
서울특별시,용산구,원효로제2동,"13,346","6,318",2.11
서울특별시,용산구,효창동,"10,379","4,704",2.21
서울특별시,용산구,용문동,"11,013","5,312",2.07
서울특별시,용산구,한강로동,"20,833","11,189",1.86
서울특별시,용산구,이촌제1동,"24,900","9,130",2.73
서울특별시,용산구,이촌제2동,"7,724","3,566",2.17
서울특별시,용산구,이태원제1동,"5,442","3,114",1.75
서울특별시,용산구,이태원제2동,"8,352","4,676",1.79
서울특별시,용산구,한남동,"13,674","6,951",1.97
서울특별시,용산구,서빙고동,"12,203","5,072",2.41
서울특별시,용산구,보광동,"5,104","2,848",1.79
서울특별시,성동구,,"274,694","133,822",2.05
서울특별시,성동구,왕십리제2동,"15,665","7,339",2.13
서울특별시,성동구,왕십리도선동,"25,497","12,001",2.12
서울특별시,성동구,마장동,"21,389","11,124",1.92
서울특별시,성동구,사근동,"12,169","8,506",1.43
서울특별시,성동구,행당제1동,"15,678","7,352",2.13
서울특별시,성동구,행당제2동,"22,270","9,109",2.44
서울특별시,성동구,응봉동,"14,340","5,833",2.46
서울특별시,성동구,금호1가동,"14,237","6,326",2.25
서울특별시,성동구,금호2.3가동,"20,583","9,372",2.2
서울특별시,성동구,금호4가동,"13,759","6,305",2.18
서울특별시,성동구,옥수동,"25,150","10,714",2.35
서울특별시,성동구,성수1가제1동,"14,806","7,264",2.04
서울특별시,성동구,성수1가제2동,"14,289","7,083",2.02
서울특별시,성동구,성수2가제1동,"13,360","7,132",1.87
서울특별시,성동구,성수2가제3동,"9,366","4,900",1.91
서울특별시,성동구,송정동,"8,985","5,108",1.76
서울특별시,성동구,용답동,"13,151","8,354",1.57
서울특별시,광진구,,"331,136","172,149",1.92
서울특별시,광진구,화양동,"23,015","18,279",1.26
서울특별시,광진구,군자동,"18,542","11,280",1.64
서울특별시,광진구,중곡제1동,"14,782","8,598",1.72
서울특별시,광진구,중곡제2동,"19,705","10,510",1.87
서울특별시,광진구,중곡제3동,"15,198","8,449",1.8
