행정구역,구,동,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시,성동구,금호2.3가동,"20,566","1,363","1,144","2,079","3,746","3,275","3,245","2,918","1,792",880,119,5
서울특별시,성동구,금호4가동,"13,869","1,053",911,"1,142","2,420","2,428","2,097","1,908","1,222",586,100,2
서울특별시,성동구,옥수동,"25,080","2,154","1,630","2,177","4,558","4,359","3,669","3,427","1,975",966,162,3
서울특별시,성동구,성수1가제1동,"14,906",742,790,"1,935","2,899","1,928","2,551","2,472","1,073",454,61,1
서울특별시,성동구,성수1가제2동,"13,548",734,751,"1,808","2,791","1,979","2,103","1,870",995,466,51,0
서울특별시,성동구,성수2가제1동,"13,692",486,645,"1,563","2,312","1,742","2,250","2,726","1,332",558,78,0
서울특별시,성동구,성수2가제3동,"9,508",357,464,"1,402","1,843","1,263","1,446","1,413",824,438,57,1
서울특별시,성동구,송정동,"9,116",297,429,"1,221","1,581","1,220","1,496","1,631",853,342,46,0
서울특별시,성동구,용답동,"13,040",337,521,"2,668","2,891","1,411","1,877","1,680","1,012",571,70,2
서울특별시,광진구,광진구,"331,167","13,508","22,857","54,837","56,825","46,047","51,075","45,849","26,578","11,752","1,796",43
서울특별시,광진구,화양동,"22,755",268,639,"9,814","4,899","1,927","1,902","1,554","1,149",536,66,1
서울특별시,광진구,군자동,"18,459",517,909,"3,975","3,435","2,361","2,448","2,483","1,507",728,94,2
서울특별시,광진구,중곡제1동,"14,865",435,636,"2,473","3,147","1,882","2,184","2,200","1,242",590,75,1
서울특별시,광진구,중곡제2동,"19,752",626,"1,156","2,959","3,616","2,576","3,147","3,078","1,788",720,85,1
서울특별시,광진구,중곡제3동,"15,164",495,723,"2,072","2,777","1,872","2,419","2,577","1,491",663,73,2
서울특별시,광진구,중곡제4동,"26,759",812,"1,529","3,388","4,082","3,279","4,723","4,874","2,775","1,151",142,4
서울특별시,광진구,능동,"10,811",349,495,"2,077","2,422","1,554","1,415","1,239",837,384,39,0
서울특별시,광진구,광장동,"32,964","2,325","5,037","3,515","3,303","6,455","5,811","3,611","1,819",888,196,4
서울특별시,광진구,자양제1동,"21,509",587,"1,278","3,643","3,994","2,932","3,316","3,055","1,756",837,108,3
서울특별시,광진구,자양제2동,"26,401","1,555","1,834","3,385","4,927","3,835","4,064","3,678","2,152",842,127,2
서울특별시,광진구,자양제3동,"26,669","1,711","2,312","3,258","3,838","4,099","4,321","3,840","2,099",957,224,10
서울특별시,광진구,자양제4동,"19,835",654,829,"3,060","3,787","2,424","3,031","3,120","1,979",805,143,3
서울특별시,광진구,구의제1동,"22,856",682,"1,192","4,489","4,600","3,073","3,447","2,907","1,605",745,111,5
서울특별시,광진구,구의제2동,"24,857","1,071","1,965","3,044","3,519","3,670","4,352","3,827","2,281",981,144,3
서울특별시,광진구,구의제3동,"27,511","1,421","2,323","3,685","4,479","4,108","4,495","3,806","2,098",925,169,2
서울특별시,동대문구,,"346,241","17,504","22,618","55,051","53,955","47,779","52,288","48,750","31,084","15,065","2,096",51
서울특별시,동대문구,신설동,"16,375",801,823,"3,093","3,495","2,291","2,263","1,954","1,067",521,66,1
서울특별시,동대문구,용두동,"22,573",947,"1,054","3,729","3,896","3,156","3,475","3,163","1,986","1,010",154,3
서울특별시,동대문구,제기동,"22,291",681,"1,061","4,240","3,145","2,358","3,285","3,498","2,507","1,329",182,5
서울특별시,동대문구,전농제1동,"32,262","1,759","2,109","4,607","4,804","4,571","5,299","4,699","2,817","1,380",210,7
서울특별시,동대문구,전농제2동,"17,349",869,"1,408","1,798","2,189","2,381","3,011","2,863","1,782",929,115,4
서울특별시,동대문구,답십리제1동,"27,251","1,961","1,916","3,518","4,907","4,533","3,871","3,491","1,978",937,137,2
서울특별시,동대문구,답십리제2동,"27,346","1,517","1,617","2,848","4,514","3,663","4,359","4,455","2,823","1,370",177,3
서울특별시,동대문구,장안제1동,"37,034","1,732","2,464","4,619","5,975","5,751","5,725","5,646","3,533","1,405",179,5
서울특별시,동대문구,장안제2동,"32,786","2,283","2,880","3,509","4,873","5,616","5,040","4,522","2,818","1,109",135,1
서울특별시,동대문구,청량리동,"18,005",504,831,"1,987","2,143","1,956","2,810","3,661","2,589","1,283",235,6
서울특별시,동대문구,회기동,"10,102",276,653,"3,368","1,498","1,063","1,179",912,671,411,69,2
서울특별시,동대문구,휘경제1동,"16,660",968,898,"3,894","3,199","2,036","2,163","1,704","1,112",605,77,4
서울특별시,동대문구,휘경제2동,"23,607",845,"1,800","5,515","3,107","2,868","3,362","2,998","2,056",923,130,3
서울특별시,동대문구,이문제1동,"24,539","1,490","1,725","5,953","3,995","3,128","3,343","2,476","1,434",874,120,1
서울특별시,동대문구,이문제2동,"18,061",871,"1,379","2,373","2,215","2,408","3,103","2,708","1,911",979,110,4
서울특별시,중랑구,중랑구,"376,916","16,636","23,083","44,939","58,837","50,816","61,690","64,302","37,930","16,339","2,284",60
서울특별시,중랑구,면목제2동,"22,978",808,"1,277","2,494","3,388","3,030","4,034","4,308","2,396","1,093",144,6
서울특별시,중랑구,면목제4동,"17,509",695,"1,037","1,921","2,440","2,452","3,049","2,969","1,983",876,83,4
서울특별시,중랑구,면목제5동,"14,058","1,023",923,"1,360","2,160","2,326","2,308","2,189","1,210",497,62,0
서울특별시,중랑구,면목본동,"31,605",918,"1,466","4,176","5,337","4,003","5,502","5,479","3,146","1,400",174,4
서울특별시,중랑구,면목제7동,"20,530",877,"1,004","2,321","3,263","2,653","3,381","3,659","2,324",900,146,2
서울특별시,중랑구,면목제3.8동,"23,476",755,"1,117","2,867","3,520","2,892","4,076","4,373","2,616","1,112",144,4
서울특별시,중랑구,상봉제1동,"22,807","1,297","1,640","2,698","3,466","3,112","3,690","3,946","1,956",891,109,2
