행정구역,구,동,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시,,,"9,295,082","454,209","717,591","1,235,814","1,469,331","1,355,855","1,462,755","1,318,017","848,552","373,053","58,443","1,462"
서울특별시,종로구,,"136,518","4,996","9,127","19,942","19,932","17,988","22,532","20,994","12,814","6,891","1,263",39
서울특별시,종로구,청운효자동,"10,719",460,985,"1,216","1,494","1,670","1,838","1,432",948,568,105,3
서울특별시,종로구,사직동,"8,874",376,591,"1,007","1,424","1,363","1,462","1,272",757,506,110,6
서울특별시,종로구,삼청동,"2,064",64,143,206,267,291,307,354,256,141,35,0
서울특별시,종로구,부암동,"8,872",320,735,"1,024","1,152","1,313","1,563","1,376",827,461,97,4
서울특별시,종로구,평창동,"16,959",846,"1,511","1,717","1,954","2,385","2,955","2,872","1,589",888,234,8
서울특별시,종로구,무악동,"7,699",483,855,759,801,"1,204","1,375","1,102",673,384,63,0
서울특별시,종로구,교남동,"9,470",627,715,"1,043","1,424","1,584","1,673","1,181",782,382,59,0
서울특별시,종로구,가회동,"3,525",127,259,318,498,518,627,552,371,218,36,1
서울특별시,종로구,종로1.2.3.4가동,"6,651",145,219,899,"1,070",815,"1,039","1,219",812,375,53,5
서울특별시,종로구,종로5.6가동,"5,420",138,202,"1,191",997,580,755,792,470,259,36,0
서울특별시,종로구,이화동,"7,063",137,336,"1,531","1,268",788,975,975,636,357,57,3
서울특별시,종로구,혜화동,"15,736",421,"1,195","4,195","2,095","1,775","2,270","1,729","1,152",766,132,6
서울특별시,종로구,창신제1동,"4,380",98,138,511,614,442,724,"1,010",549,260,34,0
서울특별시,종로구,창신제2동,"7,103",134,269,736,866,728,"1,448","1,568",899,388,66,1
서울특별시,종로구,창신제3동,"6,070",245,358,654,966,724,"1,047","1,114",612,298,51,1
서울특별시,종로구,숭인제1동,"5,676",163,314,656,808,746,"1,021","1,012",624,284,47,1
서울특별시,종로구,숭인제2동,"10,237",212,302,"2,279","2,234","1,062","1,453","1,434",857,356,48,0
서울특별시,중구,,"117,765","4,830","5,850","15,491","21,274","16,127","17,747","17,798","11,729","5,847","1,047",25
서울특별시,중구,소공동,"2,218",140,149,214,418,556,348,204,127,52,10,0
