행정구역,구,동,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시,,,"9,304,400","456,732","720,532","1,244,285","1,465,489","1,359,551","1,465,982","1,318,774","843,052","371,068","57,476","1,459"
서울특별시,종로구,,"136,817","5,017","9,216","20,062","19,922","18,041","22,678","20,978","12,762","6,857","1,249",35
서울특별시,종로구,청운효자동,"10,799",473,992,"1,229","1,508","1,695","1,850","1,432",948,569,100,3
서울특별시,종로구,사직동,"8,893",378,595,"1,009","1,429","1,360","1,471","1,281",758,498,109,5
서울특별시,종로구,삼청동,"2,095",66,152,210,270,288,316,360,256,142,35,0
서울특별시,종로구,부암동,"8,874",323,731,"1,027","1,160","1,302","1,573","1,372",833,452,97,4
서울특별시,종로구,평창동,"16,986",855,"1,515","1,741","1,965","2,391","2,953","2,867","1,584",876,230,9
서울특별시,종로구,무악동,"7,694",478,861,771,798,"1,210","1,360","1,107",664,384,61,0
서울특별시,종로구,교남동,"9,462",621,730,"1,044","1,423","1,576","1,684","1,164",787,377,56,0
서울특별시,종로구,가회동,"3,567",124,277,316,504,533,633,551,378,212,38,1
서울특별시,종로구,종로1.2.3.4가동,"6,659",142,218,919,"1,061",805,"1,044","1,228",816,368,54,4
서울특별시,종로구,종로5.6가동,"5,421",137,206,"1,183",991,579,764,799,465,262,35,0
서울특별시,종로구,이화동,"7,049",140,344,"1,501","1,267",795,981,967,637,356,60,1
서울특별시,종로구,혜화동,"15,764",422,"1,206","4,205","2,074","1,783","2,290","1,731","1,146",768,133,6
서울특별시,종로구,창신제1동,"4,393",95,146,516,613,445,724,"1,018",545,257,34,0
서울특별시,종로구,창신제2동,"7,134",137,270,747,879,724,"1,470","1,566",885,394,62,0
서울특별시,종로구,창신제3동,"6,089",249,357,678,945,722,"1,070","1,107",608,301,51,1
서울특별시,종로구,숭인제1동,"5,673",166,314,654,800,763,"1,033","1,001",615,278,48,1
서울특별시,종로구,숭인제2동,"10,265",211,302,"2,312","2,235","1,070","1,462","1,427",837,363,46,0
서울특별시,중구,,"117,762","4,852","5,881","15,589","21,219","16,104","17,746","17,847","11,632","5,837","1,033",22
서울특별시,중구,소공동,"2,198",141,145,217,422,543,335,205,130,50,10,0
서울특별시,중구,회현동,"4,074",124,209,370,522,469,671,802,578,270,58,1
서울특별시,중구,명동,"2,483",44,115,306,301,314,448,441,315,161,38,0
서울특별시,중구,필동,"4,337",120,212,827,846,538,570,560,409,195,58,2
서울특별시,중구,장충동,"4,571",94,294,"1,290",624,482,561,534,420,233,39,0
서울특별시,중구,광희동,"5,717",109,175,"1,065","1,325",674,716,816,538,263,35,1
서울특별시,중구,을지로동,"3,038",135,84,365,855,550,348,370,219,98,14,0
서울특별시,중구,신당동,"7,332",206,237,"1,195","1,343",937,"1,099","1,156",744,357,56,2
서울특별시,중구,다산동,"12,979",374,651,"1,760","2,160","1,659","2,109","2,108","1,352",695,110,1
서울특별시,중구,약수동,"15,672",715,820,"1,524","2,324","2,032","2,500","2,659","1,863","1,022",209,4
서울특별시,중구,청구동,"10,687",509,586,"1,120","1,960","1,304","1,655","1,711","1,124",627,90,1
서울특별시,중구,신당제5동,"9,937",392,480,"1,251","1,878","1,384","1,584","1,544",917,442,64,1
서울특별시,중구,동화동,"9,722",529,668,"1,004","1,273","1,310","1,665","1,707",983,487,96,0
서울특별시,중구,황학동,"13,166",538,484,"2,042","3,317","1,902","1,660","1,655","1,045",451,69,3
서울특별시,중구,중림동,"11,849",822,721,"1,253","2,069","2,006","1,825","1,579",995,486,87,6
서울특별시,용산구,,"200,962","9,780","12,682","26,001","37,073","28,939","31,671","28,146","16,406","8,584","1,627",53
서울특별시,용산구,후암동,"15,655",576,"1,046","1,947","2,893","2,186","2,500","2,276","1,419",702,105,5
서울특별시,용산구,용산2가동,"8,446",198,375,"1,153","1,683","1,152","1,163","1,242",917,474,86,3
서울특별시,용산구,남영동,"6,998",153,186,800,"1,340",769,"1,274","1,451",685,297,39,4
서울특별시,용산구,청파동,"18,715",430,899,"3,909","3,610","2,049","2,831","2,553","1,523",801,105,5
서울특별시,용산구,원효로제1동,"17,012",993,927,"2,619","4,285","2,633","2,292","1,801",977,407,77,1
서울특별시,용산구,원효로제2동,"13,369",672,898,"1,724","2,437","1,858","2,149","1,899","1,068",554,108,2
서울특별시,용산구,효창동,"10,393",613,668,"1,354","2,066","1,569","1,680","1,273",696,393,80,1
서울특별시,용산구,용문동,"11,033",531,596,"1,382","2,058","1,445","1,766","1,565","1,097",519,68,6
서울특별시,용산구,한강로동,"20,832","1,178",929,"2,809","4,909","2,870","3,108","2,795","1,406",693,132,3
서울특별시,용산구,이촌제1동,"24,881","2,019","2,584","2,444","2,927","4,049","4,407","3,201","1,772","1,172",298,8
서울특별시,용산구,이촌제2동,"7,741",404,435,709,"1,349","1,137","1,164","1,264",802,397,78,2
서울특별시,용산구,이태원제1동,"5,679",182,220,663,"1,149",725,828,953,582,307,69,1
서울특별시,용산구,이태원제2동,"8,326",284,418,"1,069","1,669","1,250","1,213","1,162",727,457,74,3
서울특별시,용산구,한남동,"13,724",804,878,"1,385","2,394","2,390","2,202","1,807","1,179",584,99,2
서울특별시,용산구,서빙고동,"12,162",603,"1,318","1,412","1,405","2,056","2,038","1,744",901,523,155,7
서울특별시,용산구,보광동,"5,996",140,305,622,899,801,"1,056","1,160",655,304,54,0
