행정구역,,,총인구수,세대수,세대당 인구
서울특별시,,,"9,299,548","4,501,031",2.07
서울특별시,종로구,,"137,048","72,324",1.89
서울특별시,종로구,청운효자동,"10,876","4,873",2.23
서울특별시,종로구,사직동,"8,898","4,584",1.94
서울특별시,종로구,삼청동,"2,114","1,065",1.98
서울특별시,종로구,부암동,"8,926","4,109",2.17
서울특별시,종로구,평창동,"17,071","7,096",2.41
서울특별시,종로구,무악동,"7,691","2,959",2.6
서울특별시,종로구,교남동,"9,438","4,314",2.19
서울특별시,종로구,가회동,"3,620","1,829",1.98
서울특별시,종로구,종로1.2.3.4가동,"6,609","4,874",1.36
서울특별시,종로구,종로5.6가동,"5,428","3,711",1.46
서울특별시,종로구,이화동,"7,057","4,436",1.59
서울특별시,종로구,혜화동,"15,652","9,164",1.71
서울특별시,종로구,창신제1동,"4,416","2,643",1.67
서울특별시,종로구,창신제2동,"7,174","3,893",1.84
서울특별시,종로구,창신제3동,"6,128","2,738",2.24
서울특별시,종로구,숭인제1동,"5,713","3,003",1.9
서울특별시,종로구,숭인제2동,"10,237","7,033",1.46
서울특별시,중구,,"117,805","63,817",1.85
서울특별시,중구,소공동,"2,186","1,236",1.77
서울특별시,중구,회현동,"4,096","2,323",1.76
서울특별시,중구,명동,"2,462","1,302",1.89
서울특별시,중구,필동,"4,301","2,798",1.54
서울특별시,중구,장충동,"4,529","2,893",1.57
서울특별시,중구,광희동,"5,684","3,933",1.45
서울특별시,중구,을지로동,"3,000","2,048",1.46
서울특별시,중구,신당동,"7,416","4,734",1.57
서울특별시,중구,다산동,"13,021","6,743",1.93
서울특별시,중구,약수동,"15,749","7,682",2.05
서울특별시,중구,청구동,"10,736","5,054",2.12
서울특별시,중구,신당제5동,"9,939","5,410",1.84
서울특별시,중구,동화동,"9,721","3,953",2.46
서울특별시,중구,황학동,"13,116","7,862",1.67
서울특별시,중구,중림동,"11,849","5,846",2.03
서울특별시,용산구,,"201,894","102,959",1.96
서울특별시,용산구,후암동,"15,653","8,272",1.89
서울특별시,용산구,용산2가동,"8,498","4,985",1.7
서울특별시,용산구,남영동,"6,996","5,001",1.4
서울특별시,용산구,청파동,"18,651","11,348",1.64
서울특별시,용산구,원효로제1동,"17,025","9,367",1.82
