region,area,people,수요,입주,매매,전세,전세가율
서울,성북구(151),"421,762","2,191",199,"3,476","2,016",58%
서울,동대문구(209),"352,848","1,711",886,"3,984","2,125",52%
서울,강북구(76),"278,041","1,510",260,"2,657","1,703",63%
서울,강서구(342),"548,515","2,901","1,193","4,035","1,998",50%
서울,서대문구(142),"299,810","1,550",315,"4,183","2,152",51%
서울,구로구(282),"382,633","2,009",356,"3,052","1,707",56%
서울,노원구(235),"481,053","2,580",0,"2,978","1,616",55%
서울,관악구(142),"477,797","2,470",250,"3,389","1,869",56%
서울,영등포구(329),"371,867","1,911",707,"5,313","2,238",42%
서울,중랑구(152),"376,386","1,968","1,950","2,719","1,698",62%
서울,동작구(152),"371,999","1,954",980,"5,402","2,410",45%
서울,은평구(180),"453,212","2,396","4,215","3,297","1,936",58%
서울,종로구(92),"136,318",732,525,"4,569","2,360",51%
서울,도봉구(145),"298,225","1,598",299,"2,350","1,409",60%
서울,강동구(201),"499,011","2,337",705,"5,750","2,616",45%
서울,중구(99),"117,558",621,0,"5,046","2,454",48%
서울,양천구(176),"421,247","2,256",99,"6,008","2,246",37%
서울,성동구(157),"274,517","1,442",0,"6,762","2,715",40%
서울,마포구(240),"356,487","1,863",679,"6,056","2,581",43%
서울,금천구(110),"222,503","1,170",589,"2,397","1,553",65%
서울,광진구(123),"330,905","1,722",389,"6,312","2,769",43%
서울,송파구(236),"650,258","3,351","2,088","7,748","2,820",37%
서울,용산구(116),"199,648","1,133",0,"8,019","2,805",36%
서울,서초구(277),"414,383","2,081","5,882","10,323","3,765",36%
서울,강남구(351),"552,830","2,698",308,"9,902","3,420",33%
광주,무안군(68),"95,659",459,0,932,738,74%
광주,영암군(25),"50,076",270,0,321,227,72%
광주,목포시(159),"199,524","1,103",70,550,470,81%
광주,순천시(155),"274,131","1,417",0,763,631,79%
광주,나주시(58),"116,691",589,0,724,601,80%
광주,화순군(31),"59,909",316,0,622,478,73%
광주,광산구(295),"383,206","2,038",951,890,696,77%
광주,동구(82),"105,200",528,"1,269","1,077",876,73%
광주,남구(184),"205,647","1,089",746,975,739,74%
광주,서구(219),"274,624","1,465","1,106",945,746,76%
광주,광양시(105),"155,975",768,0,442,376,79%
광주,북구(309),"416,783","2,152","7,088",819,656,77%
광주,여수시(158),"260,502","1,397",0,680,566,79%
부산,해운대구(284),"370,739","1,985",230,"1,784","1,010",55%
부산,연제구(142),"211,464","1,043",604,"1,651","1,075",63%
부산,북구(136),"260,736","1,424",0,"1,018",783,74%
부산,동래구(169),"271,097","1,372",400,"1,734","1,131",63%
부산,수영구(123),"168,440",886,"1,233","2,227","1,032",45%
부산,동구(56),"83,354",444,340,"1,259",887,66%
부산,남구(154),"254,413","1,319","6,335","1,472",999,64%
부산,중구(32),"36,306",206,0,497,549,88%
부산,부산진구(312),"364,912","1,788","2,031","1,175",869,71%
부산,사상구(125),"192,475","1,046",0,792,642,78%
부산,서구(55),"101,216",535,0,"1,357","1,037",70%
부산,기장군(114),"175,262",897,0,964,765,79%
부산,사하구(190),"282,159","1,545",165,768,620,78%
부산,금정구(105),"205,672","1,142",510,"1,230",928,72%
부산,강서구(69),"153,555",723,"3,159","1,131",824,73%
부산,영도구(71),"100,570",556,0,750,607,78%
대구,중구(80),"101,754",390,507,"1,587",916,56%
대구,서구(44),"163,508",830,0,"1,150",744,61%
대구,수성구(285),"408,147","2,101","1,201","1,536",908,57%
대구,동구(212),"338,476","1,725","1,139","1,001",698,68%
대구,남구(59),"141,344",723,"5,024","1,063",727,66%
대구,북구(235),"406,915","2,202","1,672",848,653,75%
대구,달성군(144),"252,000","1,329",0,763,580,75%
대구,달서구(263),"513,399","2,752","1,429",915,661,71%
인천,연수구(226),"410,290","1,959",0,"1,776","1,121",62%
인천,부평구(264),"488,191","2,479",126,"1,450","1,040",71%
인천,미추홀구(218),"418,211","2,063","2,947","1,198",897,73%
인천,서해구(242),"391,820","1,942","2,200","1,497",959,64%
인천,남동구(268),"479,149","2,598",0,"1,205",890,73%
인천,계양구(191),"276,309","1,488","1,285","1,139",877,76%
인천,제물포구(67),"99,335",517,"1,321",892,646,71%
인천,영종구(127),"137,621",547,871,"1,167",850,72%
대전,서구(218),"464,359","2,392","2,009","1,357",922,68%
대전,유성구(231),"371,104","1,785","2,783","1,380",964,70%
대전,동구(101),"218,251","1,120",425,941,747,77%
대전,대덕구(70),"164,047",884,0,861,668,75%
대전,중구(122),"224,273","1,164",749,"1,011",782,74%
울산,남구(240),"304,337","1,586","1,379","1,424","1,040",71%
울산,울주군(129),"218,285","1,123","2,278",867,693,78%
울산,중구(122),"203,026","1,074",931,"1,264","1,015",76%
울산,북구(124),"213,685","1,106",0,923,760,80%
울산,동구(79),"147,756",785,0,780,693,84%
세종,세종시(242),"390,923","1,909",301,"1,638",824,50%
경기,화성시 동탄구(270),"428,989","1,738","1,765","2,742","1,472",54%
경기,광명시(112),"303,666","1,473","1,862","3,384","1,739",48%
경기,구리시(119),"187,782",969,"1,180","2,840","1,700",60%
경기,성남시 중원구(77),"200,064","1,052",0,"3,311","1,746",53%
경기,용인시 수지구(227),"369,230","1,904",0,"2,974","1,714",58%
경기,하남시(174),"327,495","1,621",0,"3,711","2,131",57%
경기,안양시 동안구(173),"328,590","1,582",458,"3,383","1,792",53%
경기,수원시 영통구(182),"362,099","1,833",0,"2,642","1,632",62%
경기,안양시(295),"562,305","2,774","1,163","3,034","1,684",55%
경기,성남시 수정구(86),"234,639","1,190","1,949","4,558","2,265",49%
경기,화성시(546),"998,746","4,520","3,259","1,975","1,183",60%
경기,용인시(595),"1,090,211","5,457",820,"2,233","1,384",62%
경기,성남시(458),"902,344","4,690","1,949","5,163","2,205",43%
경기,용인시 기흥구(253),"434,590","2,228",472,"1,892","1,242",66%
경기,수원시 팔달구(121),"193,401",928,"1,154","2,300","1,319",57%
경기,수원시(614),"1,185,770","6,000","3,332","2,184","1,370",62%
경기,성남시 분당구(295),"467,641","2,448",0,"5,785","2,308",40%
경기,안양시 만안구(122),"233,715","1,192",705,"2,234","1,428",64%
경기,군포시(113),"249,462","1,357",0,"1,914","1,266",66%
경기,수원시 장안구(108),"269,984","1,382",0,"2,032","1,283",63%
경기,의왕시(111),"164,221",820,"4,785","2,420","1,502",60%
경기,부천시 원미구(212),"382,339","2,051",0,"2,082","1,394",67%
경기,수원시 권선구(203),"360,286","1,857","2,178","1,662","1,128",67%
경기,화성시 병점구(90),"174,794","1,002",688,"1,508","1,061",71%
경기,부천시(409),"755,453","4,049","2,344","1,922","1,313",68%
경기,남양주시(412),"727,440","3,719",635,"1,582","1,164",74%
경기,용인시 처인구(115),"286,391","1,325",348,"1,380",983,71%
경기,고양시 덕양구(263),"483,048","2,449",0,"1,862","1,309",70%
경기,부천시 소사구(125),"224,202","1,203","1,234","1,772","1,269",71%
경기,의정부시(284),"461,917","2,348","2,781","1,265",953,75%
경기,화성시 효행구(81),"160,481",641,806,"1,234",883,71%
