region,area,people,수요,입주,매매,전세,전세가율
서울,성북구(152),"421,762","2,191",199,"3,560","2,036",57%
서울,강북구(76),"278,041","1,510",260,"2,712","1,719",62%
서울,노원구(235),"481,053","2,580",0,"3,074","1,646",54%
서울,동대문구(209),"352,848","1,711",886,"4,037","2,125",51%
서울,강서구(342),"548,515","2,901","1,193","4,121","2,014",49%
서울,구로구(281),"382,633","2,009",356,"3,120","1,723",55%
서울,중랑구(152),"376,386","1,968","1,950","2,796","1,718",61%
서울,서대문구(143),"299,810","1,550",315,"4,246","2,163",51%
서울,관악구(144),"477,797","2,470",250,"3,445","1,886",55%
서울,도봉구(145),"298,225","1,598",299,"2,415","1,439",59%
서울,영등포구(330),"371,867","1,911",707,"5,372","2,246",42%
서울,동작구(153),"371,999","1,954",980,"5,473","2,423",44%
서울,은평구(180),"453,212","2,396","4,215","3,353","1,930",57%
서울,종로구(92),"136,318",732,525,"4,623","2,394",51%
서울,강동구(201),"499,011","2,337",705,"5,814","2,668",45%
서울,중구(100),"117,558",621,0,"5,133","2,468",48%
서울,금천구(110),"222,503","1,170",589,"2,437","1,588",65%
서울,송파구(236),"650,258","3,351","2,088","7,853","2,850",37%
서울,양천구(176),"421,247","2,256",99,"6,059","2,255",37%
서울,광진구(123),"330,905","1,722",389,"6,388","2,796",43%
서울,마포구(240),"356,487","1,863",679,"6,111","2,570",42%
서울,성동구(158),"274,517","1,442",266,"6,798","2,731",40%
서울,용산구(116),"199,648","1,133",24,"8,012","2,808",36%
서울,서초구(277),"414,383","2,081","5,930","10,323","3,751",36%
서울,강남구(351),"552,830","2,698",308,"9,930","3,427",33%
광주,무안군(68),"95,659",459,0,941,754,74%
광주,영암군(25),"50,076",270,0,321,227,72%
광주,목포시(159),"199,524","1,104",70,555,472,80%
광주,순천시(155),"274,131","1,417",0,769,633,79%
광주,나주시(58),"116,691",589,0,729,592,79%
광주,화순군(31),"59,909",316,0,621,475,72%
광주,광산구(295),"383,206","2,038",951,890,692,77%
광주,동구(82),"105,200",529,"1,269","1,080",871,72%
광주,서구(219),"274,624","1,465","1,106",946,743,75%
광주,남구(184),"205,647","1,087",746,974,742,74%
광주,북구(310),"416,783","2,152","7,088",817,653,77%
광주,광양시(105),"155,975",768,0,439,374,80%
광주,여수시(158),"260,502","1,397",0,682,564,79%
부산,북구(136),"260,736","1,424",0,"1,019",784,75%
부산,해운대구(284),"370,739","1,985",230,"1,782","1,020",56%
부산,연제구(142),"211,464","1,043",604,"1,648","1,076",63%
부산,동래구(169),"271,097","1,372",400,"1,730","1,136",64%
부산,수영구(123),"168,440",886,"1,233","2,234","1,040",46%
부산,중구(32),"36,306",206,0,497,549,89%
부산,부산진구(312),"364,912","1,788","2,031","1,188",866,70%
부산,남구(154),"254,413","1,319","6,335","1,470",999,64%
부산,사상구(125),"192,475","1,046",0,785,646,79%
부산,동구(56),"83,354",444,340,"1,256",881,66%
부산,서구(55),"101,216",535,0,"1,367","1,039",70%
부산,기장군(114),"175,262",897,0,963,770,79%
부산,금정구(105),"205,672","1,142",510,"1,228",925,72%
부산,사하구(191),"282,159","1,545",165,763,616,78%
부산,강서구(69),"153,555",723,"3,159","1,120",821,73%
부산,영도구(71),"100,570",556,0,747,611,78%
대구,중구(80),"101,754",390,507,"1,593",918,56%
대구,서구(44),"163,508",830,0,"1,163",736,60%
대구,수성구(285),"408,147","2,101","1,201","1,536",912,57%
대구,동구(212),"338,476","1,725","1,139","1,003",700,68%
대구,남구(59),"141,344",723,"5,024","1,061",734,67%
대구,달성군(144),"252,000","1,329",0,760,579,75%
대구,북구(235),"406,915","2,202","1,672",848,651,75%
대구,달서구(264),"513,399","2,752","1,429",910,661,71%
인천,연수구(226),"410,290","1,959",0,"1,791","1,125",62%
인천,부평구(264),"488,191","2,479",126,"1,455","1,049",72%
인천,미추홀구(220),"418,211","2,063","2,947","1,197",899,73%
인천,서해구(243),"391,820","1,941","2,200","1,498",968,64%
인천,남동구(268),"479,149","2,598",0,"1,206",891,73%
인천,계양구(191),"276,309","1,488","1,285","1,141",884,77%
인천,제물포구(67),"99,335",518,"1,321",886,648,72%
인천,영종구(127),"137,621",547,871,"1,170",860,73%
대전,서구(218),"464,359","2,392","2,009","1,362",934,67%
대전,대덕구(70),"164,047",884,0,862,668,75%
대전,유성구(231),"371,104","1,785","2,783","1,380",964,69%
대전,동구(101),"218,251","1,120",425,937,749,77%
대전,중구(122),"224,273","1,164",749,"1,012",786,74%
울산,남구(240),"304,337","1,586","1,379","1,421","1,040",71%
울산,북구(124),"213,685","1,106",0,933,761,80%
울산,울주군(129),"218,285","1,123","2,278",865,695,77%
울산,중구(123),"203,026","1,074","1,109","1,266","1,019",76%
울산,동구(79),"147,756",785,0,781,680,82%
세종,세종시(242),"390,923","1,909",301,"1,630",826,50%
경기,화성시 동탄구(270),"428,989","1,738","1,765","2,874","1,489",52%
경기,광명시(112),"303,666","1,473","1,888","3,461","1,764",48%
경기,구리시(119),"187,782",969,"1,180","2,898","1,725",59%
경기,수원시 영통구(183),"362,099","1,833",0,"2,742","1,652",60%
경기,안양시 동안구(173),"328,590","1,582",458,"3,502","1,806",51%
경기,용인시 수지구(227),"369,230","1,904",0,"3,055","1,719",56%
