region,area,people,수요,입주,매매,전세,전세가율
서울,동대문구(209),"352,299","1,711",886,"3,907","2,086",51%
서울,성북구(151),"422,190","2,191",199,"3,363","1,953",58%
서울,서대문구(142),"300,236","1,550",315,"4,089","2,154",53%
서울,관악구(142),"478,154","2,470",250,"3,324","1,838",56%
서울,강서구(342),"548,622","2,901","1,193","3,907","1,973",51%
서울,영등포구(329),"371,772","1,911",707,"5,248","2,210",42%
서울,동작구(151),"372,327","1,954",720,"5,339","2,358",44%
서울,강북구(76),"278,294","1,510",260,"2,555","1,648",64%
서울,구로구(282),"382,652","2,009",356,"2,956","1,665",56%
서울,노원구(234),"481,589","2,580",0,"2,886","1,574",55%
서울,종로구(91),"136,518",732,20,"4,504","2,340",52%
서울,성동구(157),"274,694","1,442",0,"6,719","2,671",39%
서울,중구(99),"117,765",621,0,"4,966","2,422",48%
서울,은평구(180),"453,398","2,396","2,791","3,220","1,929",59%
서울,강동구(201),"499,058","2,337",705,"5,554","2,550",44%
서울,마포구(239),"356,856","1,863",679,"6,035","2,571",43%
서울,양천구(176),"422,070","2,256",99,"5,950","2,220",37%
서울,중랑구(150),"376,463","1,968",724,"2,626","1,657",63%
서울,광진구(123),"331,136","1,722",389,"6,278","2,711",42%
서울,도봉구(145),"298,571","1,598",299,"2,288","1,384",60%
서울,송파구(236),"650,505","3,351","2,088","7,583","2,740",36%
서울,용산구(116),"199,810","1,133",0,"8,012","2,796",35%
서울,금천구(109),"222,655","1,170",0,"2,345","1,527",65%
서울,서초구(276),"414,486","2,081","5,808","10,326","3,790",36%
서울,강남구(351),"552,962","2,698",308,"9,885","3,372",33%
부산,동래구(169),"271,437","1,372",400,"1,734","1,133",63%
부산,연제구(142),"211,509","1,043",604,"1,657","1,066",62%
부산,해운대구(284),"370,920","1,985",230,"1,773","1,001",55%
부산,동구(56),"83,432",444,340,"1,257",904,67%
부산,부산진구(312),"365,104","1,788","2,031","1,171",856,70%
부산,남구(152),"254,174","1,319","6,335","1,467","1,003",65%
부산,수영구(123),"168,513",886,"1,233","2,203","1,030",46%
부산,북구(136),"260,994","1,424",0,"1,011",776,74%
부산,사하구(190),"282,633","1,545",165,769,622,78%
부산,서구(55),"101,320",535,0,"1,358","1,039",70%
부산,금정구(105),"205,968","1,142",510,"1,235",943,73%
부산,중구(32),"36,375",206,0,490,538,87%
