region,area,people,수요,입주,매매,전세,전세가율
서울,성동구(158),"274,695","1,443",0,"6,540","2,529",38%
서울,광진구(121),"330,933","1,723",215,"6,164","2,614",42%
서울,강동구(201),"499,307","2,337",705,"5,235","2,473",44%
서울,동작구(147),"371,748","1,954",552,"5,028","2,281",45%
서울,송파구(236),"645,821","3,355","2,088","7,679","2,658",35%
서울,중구(97),"117,718",620,0,"4,839","2,326",47%
서울,마포구(238),"357,232","1,863",192,"5,871","2,475",42%
서울,영등포구(328),"371,228","1,911",707,"5,028","2,112",42%
서울,용산구(114),"201,746","1,131",0,"7,990","2,736",35%
서울,강남구(350),"555,787","2,699",308,"10,494","3,332",31%
서울,동대문구(207),"348,620","1,712",761,"3,549","1,892",53%
서울,관악구(141),"477,657","2,470",0,"3,086","1,741",57%
서울,서초구(272),"415,407","2,081","5,155","10,492","3,685",34%
서울,서대문구(141),"299,942","1,551",315,"3,819","2,032",53%
서울,강서구(341),"549,536","2,902","1,120","3,649","1,925",53%
서울,양천구(175),"424,606","2,255",70,"5,906","2,189",37%
서울,성북구(150),"422,146","2,191",199,"3,084","1,818",59%
서울,종로구(92),"136,798",730,0,"4,288","2,314",54%
서울,구로구(282),"383,226","2,007",356,"2,769","1,591",57%
서울,은평구(181),"454,860","2,396","2,763","3,042","1,802",59%
서울,노원구(236),"482,461","2,579",0,"2,708","1,474",54%
서울,중랑구(149),"376,920","1,968",0,"2,496","1,602",63%
서울,강북구(75),"278,750","1,512",260,"2,363","1,521",64%
서울,금천구(109),"223,012","1,170",0,"2,290","1,457",63%
서울,도봉구(145),"299,545","1,595",299,"2,193","1,301",59%
부산,동래구(167),"273,171","1,373",400,"1,703","1,106",63%
부산,해운대구(283),"372,400","1,985",230,"1,762",985,55%
부산,연제구(142),"211,664","1,044",544,"1,625","1,052",63%
부산,동구(56),"83,765",444,340,"1,271",918,68%
부산,수영구(122),"168,912",886,"1,233","2,218","1,001",44%
부산,금정구(105),"206,039","1,140",415,"1,259",914,70%
부산,부산진구(311),"365,384","1,788","2,031","1,157",835,69%
부산,남구(151),"251,114","1,318","6,335","1,453",997,65%
부산,사하구(189),"285,534","1,543",165,782,609,75%
부산,서구(55),"101,633",535,0,"1,378","1,028",69%
부산,기장군(112),"175,290",897,0,977,754,77%
부산,북구(135),"262,506","1,423",0,995,773,75%
부산,강서구(67),"150,848",724,"3,159","1,152",800,69%
부산,중구(31),"36,449",206,0,500,551,87%
부산,사상구(125),"193,750","1,044",0,796,634,77%
