region,area,people,수요,입주,매매,전세,전세가율
충북,청주시 청원구(113),186336,983,0,779,656,82%
충북,청주시 상당구(105),193836,978,742,830,726,85%
충북,제천시(75),128269,667,0,577,494,80%
충북,음성군(73),95429,467,0,494,403,74%
충북,청주시 서원구(109),185924,975,3447,709,643,88%
충북,진천군(63),85590,433,0,681,483,69%
충북,증평군(23),36585,186,414,591,510,81%
충남,당진시(94),172249,846,0,634,526,81%
충남,논산시(45),106295,576,433,706,568,75%
충남,공주시(49),99843,523,366,748,562,74%
충남,계룡시(24),45959,219,0,713,554,78%
충남,예산군(43),78604,389,0,582,469,72%
충남,서산시(87),171556,892,410,656,556,82%
충남,홍성군(50),101143,501,293,602,487,72%
충남,천안시 서북구(277),401874,2034,0,868,708,79%
충남,태안군(19),59177,313,0,537,404,72%
충남,아산시(229),361590,1655,6651,751,601,78%
충남,보령시(46),91434,499,1382,694,540,78%
충남,천안시(423),665080,3329,719,799,660,79%
충남,천안시 동남구(146),263206,1295,719,687,584,81%
전남,무안군(68),95732,459,0,909,747,77%
전남,영암군(25),50039,270,0,311,227,74%
전남,순천시(155),274529,1417,0,740,628,81%
전남,나주시(58),116830,589,0,710,590,80%
전남,목포시(159),200442,1103,70,537,467,82%
전남,화순군(31),60126,316,0,589,462,73%
전남,광양시(105),155699,768,0,445,376,81%
전남,여수시(156),261649,1397,0,699,569,77%
경북,안동시(97),152097,792,0,721,590,75%
경북,예천군(17),53670,282,0,832,681,80%
경북,상주시(35),89579,484,0,713,502,69%
경북,영천시(43),94633,514,0,475,376,74%
경북,영주시(47),96673,514,763,691,617,75%
경북,김천시(74),133145,708,0,660,597,82%
경북,경주시(136),243282,1271,0,646,570,78%
경북,구미시(218),403237,2078,0,603,519,82%
경북,경산시(152),263483,1354,0,686,545,78%
경북,칠곡군(53),103999,575,0,416,347,80%
경북,포항시 남구(111),213948,1160,0,680,623,80%
경북,포항시(275),487769,2532,3100,640,548,79%
경북,포항시 북구(164),273821,1372,3100,620,516,78%
경남,진주시(182),335302,1748,0,1037,870,78%
경남,창원시 성산구(136),246261,1220,1509,1372,899,64%
경남,거창군(21),58909,307,0,701,539,66%
경남,창원시(534),987728,5212,3474,1046,777,71%
경남,창원시 의창구(87),207900,1157,1965,1202,879,70%
경남,양산시(211),361230,1790,330,777,609,76%
경남,창원시 마산회원구(90),174912,944,0,838,697,78%
경남,창원시 마산합포구(120),175126,909,0,794,686,81%
경남,밀양시(50),98775,523,232,670,591,79%
경남,통영시(97),115968,641,506,582,555,81%
경남,김해시(274),532407,2722,1868,723,599,81%
경남,함안군(25),57208,315,0,506,448,85%
경남,창원시 진해구(101),183529,982,0,716,592,82%
경남,거제시(170),229585,1213,343,481,405,81%
경남,사천시(55),107784,556,677,551,493,84%
제주,제주시(220),484383,2499,336,1595,1030,64%
제주,서귀포시(82),178794,933,144,1106,811,71%
강원,삼척시(40),60450,326,0,612,479,71%
강원,동해시(75),85875,455,0,640,500,71%
강원,홍천군(23),65962,345,703,670,507,72%
강원,태백시(45),36859,206,0,392,299,74%
강원,춘천시(160),284910,1444,1417,917,718,77%
강원,강릉시(161),205891,1075,1882,827,719,80%
강원,원주시(258),363900,1816,2137,698,573,78%
강원,속초시(97),78982,420,925,803,618,76%
전주시,전주시 완산구(226),314736,1699,1914,887,716,77%
전주시,전주시(422),622915,3315,2308,933,764,78%
전주시,전주시 덕진구(196),308179,1616,394,982,812,79%
전주시,완주군(53),100119,462,516,741,588,76%
전주시,남원시(38),74065,399,0,611,500,68%
전주시,김제시(44),81713,411,0,478,435,81%
전주시,익산시(188),266973,1399,1363,542,496,84%
전주시,정읍시(53),100795,536,0,578,423,74%
전주시,군산시(178),255565,1341,2529,493,442,82%
