사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202604,5호선,강일,0,0,3037,1497,11147,4082,33564,7518,27534,10898,17524,4674,12909,4091,10375,4272,10454,6493,9125,6351,7522,7890,8820,10178,9962,11371,9942,16540,10178,22087,4564,20512,3050,13020,2267,11635,1833,10435,632,6516,201,2299,0,1,0,0,0,0,20260503
202604,5호선,개롱,1,1,4019,750,11082,2834,25187,8831,22958,17342,14828,9238,12328,6954,10426,6970,11385,7186,10378,9742,9164,10066,10431,11407,14617,15100,13197,17970,13567,23800,6757,20268,5307,11770,4847,10030,2771,11073,795,5520,105,1866,0,0,0,0,0,0,20260503
202604,5호선,개화산,5,0,5176,191,10069,3549,25517,7564,25295,15842,14282,8200,10321,6382,10055,6872,10627,7573,9696,8369,8361,8011,8857,9808,10304,11245,13166,14348,12977,20512,5882,17166,4069,10914,3597,10797,2508,9433,802,5157,111,1836,0,52,0,0,0,0,20260503
202604,5호선,거여,13,0,7625,683,19816,4042,49297,10840,47252,20657,26664,11040,18302,8338,16556,8992,16215,9229,14703,13559,12732,12796,13794,17837,16057,22421,16790,28072,16545,43690,8239,35196,6090,19739,5331,17137,3686,18071,1344,9388,205,3276,0,0,0,0,0,0,20260503
202604,5호선,고덕,10,0,4373,1785,12741,6788,31229,21923,27627,23613,19689,17155,17600,16285,19001,12455,19586,14062,16884,19788,18142,16946,21746,19413,24210,21225,26148,22364,21118,31733,12439,25085,10074,13491,9873,13266,9994,12346,2257,6257,455,2835,0,120,0,0,0,0,20260503
202604,5호선,공덕,18,0,1873,1006,6839,9331,24659,38665,37275,80996,19673,43067,16111,19953,17926,19198,19600,17635,22561,19413,21246,17215,23482,18941,28923,22034,48777,36101,67702,51544,27838,25452,22995,16321,22460,14700,16988,12739,7150,6824,989,2066,0,2,0,0,0,0,20260503
202604,5호선,광나루(장신대),8,0,4740,1885,14836,7376,33890,17525,37365,38326,23261,23200,18805,20595,18108,17225,20421,16815,21502,17940,20131,17175,23150,18479,26615,22708,27114,28351,31446,35396,15860,24988,13485,16883,14909,15357,9511,14407,2785,8708,497,2444,0,0,0,0,0,0,20260503
202604,5호선,광화문(세종문화회관),6,0,1241,1136,3857,49546,11121,110880,14254,305443,14725,146140,17689,71314,25994,68988,34318,55974,43663,56979,53412,45600,67089,37447,87020,36566,148020,43696,233693,48528,90963,22204,74979,11098,76981,8869,45391,5732,15087,2992,1529,840,0,1,0,0,0,0,20260503
202604,5호선,군자(능동),124,1,7521,938,12669,6166,37427,10932,49722,31357,25131,20572,16085,16801,15657,15859,17540,16652,18135,18652,16901,18661,17513,21089,20261,26919,26957,39012,31121,61150,19248,38646,17091,24585,16562,22058,14030,21134,7577,13241,1678,6843,2,1267,0,0,0,0,20260503
202604,5호선,굽은다리(강동구민회관앞),4,0,8447,662,15163,3462,38777,7247,42264,16535,23230,12142,18140,10385,16457,11501,17909,12683,17317,14316,14835,15272,14372,16360,15712,22286,16080,24445,16706,39899,9506,27715,8170,19091,8566,14547,5422,14675,1569,7707,350,3094,0,0,0,0,0,0,20260503
