사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202511,4호선,한성대입구(삼선교),62,2,6501,1615,12849,9367,29995,17763,37255,36515,28363,30403,22648,26346,21754,26489,25927,24691,28044,26025,26849,26385,32620,25251,38809,27758,43261,34253,36201,37399,23304,29867,19586,20721,17709,19040,12010,17994,5195,11930,704,5756,0,1536,0,0,0,0,20251203
202511,4호선,혜화,29,1,3278,2144,8310,24465,17921,52526,23726,109941,27750,95558,37352,78000,42611,80538,48253,88627,50843,109176,64742,93003,98395,77255,110847,72609,128751,85715,130228,92220,84073,64357,86406,25971,117789,22535,98360,19723,33994,11893,4026,3450,0,440,0,0,0,0,20251203
202511,4호선,혜화,29,1,3278,2144,8310,24465,17921,52526,23726,109941,27750,95558,37352,78000,42611,80538,48253,88627,50843,109176,64742,93003,98395,77255,110847,72609,128751,85715,130228,92220,84073,64357,86406,25971,117789,22535,98360,19723,33994,11893,4026,3450,0,440,0,0,0,0,20251203
202511,4호선,회현(남대문시장),28,3,1583,873,3575,22140,5819,55293,10431,145180,15792,107053,21397,91633,32444,89815,43189,75069,56785,67439,72283,64026,86633,52766,101397,42260,124182,33532,131347,27742,64040,15828,57081,9738,25584,8261,13388,6594,4623,3825,537,1121,2,55,0,0,0,0,20251203
202511,4호선,회현(남대문시장),28,3,1583,873,3575,22140,5819,55293,10431,145180,15792,107053,21397,91633,32444,89815,43189,75069,56785,67439,72283,64026,86633,52766,101397,42260,124182,33532,131347,27742,64040,15828,57081,9738,25584,8261,13388,6594,4623,3825,537,1121,2,55,0,0,0,0,20251203
202511,5호선,강동,115,3,11826,1510,20855,11538,55748,27863,72021,49573,39773,30490,29383,21558,27216,19689,30136,21856,27763,27613,27723,25150,29621,27519,34430,31868,43631,38361,43133,58652,22598,42077,15554,29456,12891,27902,9196,24630,3630,14936,743,6325,1,0,0,0,0,0,20251203
202511,5호선,강동,115,3,11826,1510,20855,11538,55748,27863,72021,49573,39773,30490,29383,21558,27216,19689,30136,21856,27763,27613,27723,25150,29621,27519,34430,31868,43631,38361,43133,58652,22598,42077,15554,29456,12891,27902,9196,24630,3630,14936,743,6325,1,0,0,0,0,0,20251203
202511,5호선,강일,1,1,2916,696,9520,2901,29686,6103,26062,8941,16477,4484,12906,3989,9926,4386,9808,7036,9098,6071,7632,7725,8385,9842,8666,10506,9590,15966,9120,20150,3956,19108,2810,11737,2124,10383,1627,9997,601,6003,143,1828,0,0,0,0,0,0,20251203
202511,5호선,강일,1,1,2916,696,9520,2901,29686,6103,26062,8941,16477,4484,12906,3989,9926,4386,9808,7036,9098,6071,7632,7725,8385,9842,8666,10506,9590,15966,9120,20150,3956,19108,2810,11737,2124,10383,1627,9997,601,6003,143,1828,0,0,0,0,0,0,20251203
202511,5호선,개롱,4,1,3652,832,9849,2622,21626,7647,22644,15833,14511,9073,12025,6773,10787,6883,11102,7036,10486,9297,9012,9757,10436,10845,14035,14586,12770,17638,12443,22236,6073,18864,4623,11234,3895,9607,2338,10535,814,5333,76,1652,0,0,0,0,0,0,20251203
