호선명,역명,년월(YYYYMM),요일,구분,합계(전체),01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시
2호선,남양산,202511,전체,하차,95999,4,6,6,22,102,1880,2734,4520,3012,2961,4258,4404,5395,5605,6953,8352,9854,9966,7006,5037,4505,4677,3159,1581
2호선,양산,202511,전체,승차,177852,5,2,9,542,2535,4996,12561,14754,10766,11269,11354,11728,11532,12262,13762,14129,14829,11735,7057,5152,3584,2352,929,8
2호선,양산,202511,전체,하차,175327,12,3,29,32,268,5078,7504,11178,7252,8912,9566,10406,11861,12757,12400,13487,14617,14202,10676,6684,6350,5809,4100,2144
3호선,망미,202511,전체,승차,147702,11,7,0,71,3523,5603,11178,19027,13159,10405,10674,9839,9680,8456,8336,8881,9489,8233,3581,2724,2530,1479,787,29
3호선,망미,202511,전체,하차,139168,8,8,0,1,728,2278,4251,8463,5765,5275,6812,7963,8311,9099,10792,13431,15156,15904,8229,5987,4852,3507,1771,577
3호선,배산,202511,전체,승차,132157,5,1,0,59,4764,5885,10715,15890,11872,9868,10336,10147,9658,7592,8479,8126,6659,5506,2297,1817,1215,791,412,63
3호선,배산,202511,전체,하차,142296,9,0,1,12,401,1772,3965,8282,5946,5682,7475,8540,9384,9738,11309,14239,14477,14742,8120,6358,5063,4016,2007,758
3호선,물만골,202511,전체,승차,115123,0,0,0,16,3044,5003,9236,14947,10116,8000,8075,8115,7578,6351,6366,7157,7150,6988,2660,1822,1287,761,409,42
3호선,물만골,202511,전체,하차,117821,0,5,0,2,464,1387,3198,8348,5208,5401,6152,7130,7188,7730,9423,10742,11616,13084,6460,4713,4572,2894,1851,253
3호선,연산,202511,전체,승차,299902,15,11,16,95,4757,6128,11691,19311,15431,15814,18145,20433,20590,20782,23593,24084,26127,25349,13583,11496,10567,7228,4316,340
3호선,연산,202511,전체,하차,273646,17,11,17,40,2026,4225,7962,29657,21530,15820,16458,15710,16449,14757,15573,18784,24217,26699,13567,9753,8819,6859,3996,700
3호선,거제,202511,전체,승차,178127,11,8,0,1,1524,4069,9226,14331,9984,9279,11160,9828,10960,11900,12096,15161,18093,20543,6762,5006,4275,2687,1110,113
3호선,거제,202511,전체,하차,175941,7,14,0,0,1729,3531,7818,25654,16437,11479,10824,10829,10416,10462,9983,11050,12766,13074,6256,4819,4036,2958,1527,272
3호선,종합운동장,202511,전체,승차,213963,7,4,0,14,2830,6585,20653,28771,15017,11680,11549,12610,12049,12190,11517,14392,14641,13555,7495,6795,5820,3468,2174,147
3호선,종합운동장,202511,전체,하차,214503,2,13,0,4,852,2569,5850,13147,8920,8586,9768,11816,12928,13247,14898,19516,21819,28366,13385,9547,8901,6040,3457,872
3호선,사직,202511,전체,승차,215498,20,0,0,9,4411,7838,22042,29400,16664,13498,12988,13103,13585,11095,11072,11763,13909,12399,6493,5504,4593,3143,1795,174
3호선,사직,202511,전체,하차,214057,15,12,0,2,637,2636,4566,11061,9452,8501,10495,11641,12396,12287,15195,19964,23411,29318,13455,9281,9029,6025,3748,930
3호선,미남,202511,전체,승차,311905,22,9,7,43,7700,12207,31299,42999,23983,19120,19134,18921,18629,16783,16422,17867,20768,17501,9019,7103,5639,4240,2150,340
3호선,미남,202511,전체,하차,293013,5,22,12,12,2124,4966,6613,18851,12426,11747,13020,14697,17416,16918,19702,24952,31758,37278,19096,13572,11906,9311,5335,1274
3호선,만덕,202511,전체,승차,179080,0,0,0,36,4362,8052,20391,26894,16905,13214,12518,11594,11162,9330,8160,8434,9681,7741,3775,3010,1840,1394,536,51
3호선,만덕,202511,전체,하차,193058,0,0,0,5,1116,2662,4459,8011,5549,6515,8320,9625,10115,11465,15759,18940,21773,25592,13299,9305,9284,5804,4259,1201
3호선,남산정,202511,전체,승차,159915,6,1,0,8,5140,7259,15846,20281,14781,12408,11872,11579,11442,9556,8690,7797,8684,6269,3246,2196,1578,824,404,48
3호선,남산정,202511,전체,하차,122240,7,7,0,3,696,1675,3317,6902,4563,4731,6575,6853,7507,8110,10676,12079,13187,13236,6870,4927,4769,2854,2221,475
3호선,숙등,202511,전체,승차,128588,2,0,0,49,3423,4222,10328,13024,8267,7952,8055,8215,7863,7599,8569,8633,10363,7931,5442,3869,2804,1375,540,63
3호선,숙등,202511,전체,하차,121216,5,2,0,30,586,3788,5221,12639,6895,6337,6607,6808,7592,7380,7881,9051,9751,12052,5789,4206,3926,2609,1666,395
3호선,덕천,202511,전체,승차,373093,9,4,1,124,4892,6275,13891,16755,17330,24088,26723,30271,29271,31151,33761,33375,32335,25373,15235,12398,9687,6476,3325,343
3호선,덕천,202511,전체,하차,350633,13,9,11,44,1711,5739,10261,26136,25143,25628,29345,27526,26506,26986,25911,26518,27628,27325,11945,8575,7553,5331,3727,1062
3호선,구포,202511,전체,승차,101614,10,3,4,89,1149,2199,5020,6505,4453,5517,5609,5448,7117,3896,6599,9296,8739,8770,5798,7333,3306,3122,1548,84
3호선,구포,202511,전체,하차,113761,7,3,4,18,1743,5509,9742,10428,7569,7399,5946,6427,7343,7051,6823,7180,8101,9072,4482,3526,2624,1596,873,295
3호선,강서구청,202511,전체,승차,89642,1,3,0,14,414,691,1996,2686,2946,3306,4454,4686,5452,5300,6816,10333,14554,16672,3870,2543,1642,855,373,35
3호선,강서구청,202511,전체,하차,84811,5,2,0,3,1387,7590,12177,18239,6090,4435,5121,6036,4649,3308,2808,2695,2787,2173,1511,1244,1073,832,482,164
3호선,체육공원,202511,전체,승차,35478,0,1,0,0,112,270,1095,1548,1226,1992,1935,2268,1456,1745,3131,5861,4691,3517,1027,1190,1778,506,96,33
3호선,체육공원,202511,전체,하차,34010,0,2,0,0,1428,2172,3082,4983,2577,1830,1735,2440,3286,2234,1378,1518,1608,2107,536,330,281,238,173,72
3호선,대저,202511,전체,승차,262419,7,2,5,52,2345,4533,13717,17637,13410,11928,11933,12627,13364,13562,15769,23230,36121,35582,12243,9692,8794,4461,1403,2
3호선,대저,202511,전체,하차,231071,12,8,11,36,4424,14144,24822,26110,13681,11867,11780,10463,11068,10302,11648,14049,14794,15888,10703,7970,7386,5679,3652,574
4호선,동래,202511,전체,승차,71516,3,0,0,13,855,1594,3289,4840,3844,4135,5177,5044,4915,5121,5612,5513,5292,4402,3275,2853,2477,1845,1109,308
4호선,동래,202511,전체,하차,74820,0,11,0,13,1273,2257,3815,6768,5391,4896,5101,4402,4697,4661,4867,5649,6654,6584,2925,1979,1139,903,649,186
4호선,수안,202511,전체,승차,117739,4,5,1,11,1131,1955,4163,5199,5050,7092,9051,9417,9169,10354,12210,12240,11105,8425,3781,2786,2279,1380,734,197
4호선,수안,202511,전체,하차,122316,2,18,5,11,1077,1373,3427,12946,10743,9344,10683,12108,11686,10241,8049,7877,8230,7330,2958,1622,1123,851,468,144
4호선,낙민,202511,전체,승차,49801,2,0,0,6,1223,2187,3900,5060,3483,3191,3313,2931,3278,2769,3419,5071,3437,2850,1512,862,598,436,205,68
4호선,낙민,202511,전체,하차,50504,1,2,0,5,793,1096,1978,6493,2735,2441,2591,3460,3166,3237,3140,3768,4532,4360,2268,1579,1225,812,675,147
4호선,충렬사,202511,전체,승차,101404,0,0,0,32,2580,3286,6503,7806,6367,7481,8366,7901,7556,6861,7003,6724,7723,5446,3234,2485,1918,1213,787,132
4호선,충렬사,202511,전체,하차,106713,1,2,0,15,1054,1997,3546,7697,6752,6314,7241,7173,8306,7516,8453,9467,10542,9457,4066,2812,1925,1264,765,348
4호선,명장,202511,전체,승차,93457,2,1,0,27,3008,3886,8259,11356,8025,6948,6687,6920,6812,5576,4731,5178,5843,4336,1927,1388,1209,751,477,110
4호선,명장,202511,전체,하차,88688,7,1,0,45,456,1507,2678,5356,3134,3825,4935,5138,5629,5761,7985,9174,9314,9252,4738,3559,2569,1914,1116,595
4호선,서동,202511,전체,승차,70207,2,0,0,63,2049,2164,5036,5783,4482,4640,5079,5341,5443,4455,4013,4443,6523,5256,1848,1380,1027,583,520,77
4호선,서동,202511,전체,하차,74232,3,5,2,11,611,1484,4830,6167,4100,3938,4354,5135,4853,5098,5955,6776,6489,5678,3183,2236,1506,1014,565,239
4호선,금사,202511,전체,승차,53206,2,1,0,91,859,1269,3120,3465,3119,2522,3098,3938,3274,2633,2871,3823,9803,5868,1462,1008,484,279,157,60
4호선,금사,202511,전체,하차,46823,3,2,2,31,609,2194,6954,8053,2293,1762,1916,2426,2688,2538,2340,3119,3084,2571,1512,896,816,548,325,141
4호선,반여농산물시장,202511,전체,승차,56370,1,1,2,89,506,1490,2622,3753,3048,3556,4260,4146,3912,4131,4317,4772,6324,4769,1428,1582,616,480,334,231
4호선,반여농산물시장,202511,전체,하차,58893,1,4,6,72,1352,3325,5873,7891,3502,3826,3557,3981,4119,3794,3134,3045,3563,3301,1805,1027,772,451,297,195
4호선,석대,202511,전체,승차,4184,2,2,0,2,18,78,193,242,213,232,404,249,237,400,739,379,421,169,76,49,25,14,9,31
4호선,석대,202511,전체,하차,3060,1,4,0,11,36,115,232,553,208,207,171,236,238,208,244,208,122,97,34,29,24,22,45,15
4호선,영산대,202511,전체,승차,82837,2,0,2,196,2277,2762,5753,7261,5716,5642,6213,6306,5477,5841,6204,7182,6546,4293,1731,1353,956,709,363,52
4호선,영산대,202511,전체,하차,80802,4,5,5,6,307,1678,2600,7216,3846,3828,4638,5528,4856,5290,5877,6545,7041,6542,3845,3092,2604,2330,1933,1186
4호선,윗반송,202511,전체,승차,76073,0,0,0,434,2404,3055,6609,7551,6100,5675,5720,6387,5696,4647,4449,4339,4554,3669,1959,1194,761,466,303,101
4호선,윗반송,202511,전체,하차,70560,0,3,0,63,122,1437,2210,4147,2988,3464,4502,4823,4760,5401,5989,7221,6767,5807,3293,2151,2292,1459,1008,653
4호선,고촌,202511,전체,승차,17267,3,0,3,42,292,578,1815,2066,1269,1123,1383,1254,1015,1006,961,1077,1107,1178,382,283,151,119,84,76
4호선,고촌,202511,전체,하차,14164,0,2,3,35,51,615,1145,1546,661,729,984,724,837,853,1084,906,1101,1087,611,392,352,254,133,59
4호선,안평,202511,전체,승차,58235,6,0,1,188,1157,1672,4946,4876,4358,3901,4037,3822,4015,3882,4448,4909,4876,3800,1210,1048,580,318,168,17
4호선,안평,202511,전체,하차,56510,4,5,1,22,72,2143,2633,3835,2911,2835,3793,3462,3700,3448,4084,4230,4993,4702,2781,2251,1661,1546,909,489
