"주소1","주소2","주소3","주소4","학교명","분류","국어","영어","수학","평균","특목고계"
"강원","삼척시","원덕읍","임원리","임원중학교","공립","87.0","76.3","83.4","82.2",""
"세종","집현서로","","","집현중학교","공립","87.0","75.9","86.2","83.0","3"
"경기","파주시","적성면","어유지리","어유중학교","공립","87.0","86.7","72.0","81.9","0"
"대전","유성구","지족동","","대전지족중학교","공립","87.0","78.4","74.8","80.1","9"
"서울","종로구","청운동","","청운중학교","공립","87.0","80.7","75.9","81.2","9"
"서울","마포구","염리동","","서울여자중학교","공립","86.9","82.7","81.8","83.8","15"
"서울","서초구","","","내곡중학교","공립","86.9","74.4","64.0","75.1","0"
"광주","남구","진월동","","광주동성여자중학교","사립","86.9","77.7","68.4","77.7","5"
"서울","강남구","","","구룡중학교","공립","86.9","77.2","78.5","80.9","11"
"경기","남양주시","수동면","","수동중학교","사립","86.9","72.2","75.8","78.3","0"
"전북","완주군","화산면","화평리","화산중학교","사립","86.8","81.8","91.1","86.6",""
"경기","김포시","운양동","","하늘빛중학교","공립","86.8","82.2","79.5","82.8","18"
"충남","공주시","사곡면","고당리","사곡중학교","공립","86.8","76.3","90.0","84.4","0"
"서울","성북구","","","홍익대학교사범대학부속중학교","사립","86.7","65.7","78.8","77.1","1"
"경기","성남시","중원구","성남동","성남중학교","공립","86.7","80.2","76.2","81.0","1"
"서울","종로구","필운동","","배화여자중학교","사립","86.7","81.8","84.4","84.3","11"
"경북","문경시","산북면","대상리","산북중학교","공립","86.6","84.1","84.3","85.0","0"
"경북","의성군","다인면","도암리","다인중학교","공립","86.6","84.6","78.6","83.3","0"
"경기","이천시","증포동","","증포중학교","공립","86.6","77.1","78.0","80.6","2"
"경기","화성시","동탄대로시범길","","청계중학교","공립","86.6","81.8","77.6","82.0","9"
"서울","강동구","상일동","","상일중학교","사립","86.6","82.0","80.1","82.9","6"
"전북","남원시","아영면","청계리","아영중학교","공립","86.5","80.5","82.9","83.3",""
